lot_number,title,artist,high_estimate,low_estimate,price_realised
5 B,"Untitled,
","Jean-Michel Basquiat (1960-1988),
","USD 1,800,000","USD 1,200,000","USD 2,407,500"
4 B,"Untitled,
","Donald Judd (1928-1994),
","USD 700,000","USD 500,000","USD 823,500"
7 B,"Portrait of a Tearful Woman,
","MAN RAY (1890-1976),
","USD 600,000","USD 400,000","USD 2,167,500"
3 B,"Flattop,
","Joe Bradley (B. 1975),
","USD 1,500,000","USD 1,000,000","USD 1,207,500"
10 B,"Last Supper,
","Andy Warhol (1928-1987),
","USD 8,000,000","USD 6,000,000","USD 18,727,500"
8 B,"Adam et Eve,
","Francis Picabia (1879-1953),
","USD 2,000,000","USD 1,500,000","USD 3,367,500"
1 B,"La Lecture, 1924, Femme au Livre, 1924, Positioned together, Tous les Deux, ensemble, New York,
","Louise Lawler (B. 1947),
","USD 90,000","USD 70,000","USD 175,000"
2 B,"Fats II,
","Jean-Michel Basquiat (1960-1988),
","USD 6,000,000","USD 4,000,000","USD 4,727,500"
9 B,"The Visit II,
","Eric Fischl (B. 1948),
","USD 800,000","USD 600,000","USD 967,500"
11 B,"Painter at Night,
","Philip Guston (1913-1980),
","USD 12,000,000","USD 8,000,000","USD 12,567,500"
6 B,"Leda and the Swan,
","Cy Twombly (1928-2011),
","USD 55,000,000","USD 35,000,000","USD 52,887,500"
12 B,"Hamid in Alcheringa,
","Julian Schnabel (B. 1951),
","USD 300,000","USD 200,000","USD 391,500"
13 B,"Footmen,
","David Salle (B. 1952),
","USD 350,000","USD 250,000","USD 583,500"
17 B,"3 Standard Stoppages,
","Marcel Duchamp (1887-1968),
","USD 1,800,000","USD 1,200,000","USD 1,927,500"
18 B,"Chikago,
","Joseph Beuys (1921-1986),
","USD 1,200,000","USD 800,000","USD 1,207,500"
20 B,"Schober,
","Gerhard Richter (B. 1932),
","USD 7,500,000","USD 5,500,000","USD 6,967,500"
14 B,"Poêle de moules ,
","Marcel Broodthaers (1924-1976),
","USD 450,000","USD 350,000","USD 439,500"
21 B,"Dein Goldenes Haar, Margarete,
","Anselm Kiefer (B. 1945),
","USD 1,200,000","USD 800,000","USD 1,027,500"
19 B,"Malen = Verbrennen,
","Anselm Kiefer (B. 1945),
","USD 1,800,000","USD 1,200,000","USD 2,407,500"
22 B,"Transparent #12,
","Sigmar Polke (1941-2010),
","USD 900,000","USD 700,000","USD 1,207,500"
16 B,"Untitled Film Still #21,
","Cindy Sherman (B. 1954),
","USD 700,000","USD 500,000","USD 871,500"
